question,answer,Correct
195,Flatness,Correct
128,Trumpet,Correct
94,Aboriginal Australians,Correct
39,Sanskrit,Correct
161,W. E. B. Du Bois,Correct
76,Coffee production in Brazil,Correct
134,Saint Nicholas,Correct
2,Thanatopsis,Correct
171,Population density,Correct
99,Niccolò Paganini,Correct
70,Belgium,Correct
208,Permutation,Correct
60,War in Afghanistan (2001–2021),Correct
217,Rhône,Correct
28,Death in Venice,Correct
112,Hieronymus Bosch,Correct
151,Truth,Correct
225,Condor,Correct
17,All's Well That Ends Well,Correct
182,Ester,Correct
