6,"""Blaseball"" fans voted on a decree to open the book. The Commissioner was uninvolved. They might say it's not a splort, but they are wrong. It's a splort. ",0,"During the first season of Blaseball (the absurdist baseball simulation horror game), the Commissioner opened the Book of Blaseball, also known as The Forbidden Book."
6,"""Blaseball"" fans voted on a decree to open the book. The Commissioner was uninvolved. They might say it's not a splort, but they are wrong. It's a splort. ",1,"As a result, there was a Solar Eclipse, the eyes of the umpires turned white, Jaylen Hotdogfingers was incinerated, a Hellmouth spawned and swallowed the Moab Desert, and the Discipline Era began."
6,"""Blaseball"" fans voted on a decree to open the book. The Commissioner was uninvolved. They might say it's not a splort, but they are wrong. It's a splort. ",2,"But everyone agreed, the Commissioner did a great job!"
7,"They didn't relocate Laverne and Shirley with Squiggy cause those are two different shows.
The ""Laverne and Shirley"" cartoon featured them joining the Army, ehich may not sound very fantastical until you learn that their commanding officer was a talking pig named Sgt. Squealy. ",0,80's cartoons loved thrusting live-action sitcom characters into sci-fi and fantasy settings.
7,"They didn't relocate Laverne and Shirley with Squiggy cause those are two different shows.
The ""Laverne and Shirley"" cartoon featured them joining the Army, ehich may not sound very fantastical until you learn that their commanding officer was a talking pig named Sgt. Squealy. ",1,Various animated spinoffs stranded Gilligan and the SS Minnow gang on an alien planet after their homemade rocket crashed; relocated Laverne and Shirley to Transylvania with a vampirre Squiggy; and sent the Fonz and his friends traveling to the future and past in a broken time machine.
8,"It is ambiguous what Paleblood specifically refers to. Some think it definitely refers to the Moon Presence because there's a note that says, ""The nameless Moon Presence beckoned by Laurence and his associates, Paleblood,"" but that is still ambiguous, and Miyazaki himself has said it could refer to the Moon Presence or the sky after defeating Rom or finding, stopping the Mansis nightmare ritual.",0,"Early in the game Bloodborne, the player can find a note in losefka's Clinic that gives them their primary objective: ""Seek Paleblood to transcend the hunt."""
8,"It is ambiguous what Paleblood specifically refers to. Some think it definitely refers to the Moon Presence because there's a note that says, ""The nameless Moon Presence beckoned by Laurence and his associates, Paleblood,"" but that is still ambiguous, and Miyazaki himself has said it could refer to the Moon Presence or the sky after defeating Rom or finding, stopping the Mansis nightmare ritual.",1,"Paleblood is one name for the optional final boss of the game, the Moon Presence, which is also believed to have a third name: Flora."
9,"You shouldn't keep the string taut or else the button won't be able to hold the fabric correctly. Instead, you can use a pin or a toothpick to hold the string out on top of the button, giving you enough space to make the button work. Then you can wrap the string under the button to create a shank, which allows the button to have a bit of space when the garment is buttoned.
It's better not to use a double knot. You can pass it in back through itself.",0,"Sewing a button back onto a shirt is a deceptively easy skill, but here are some tips to make it easier: Cut a long length of string to give yourself room, double knot the end of the string to keep it from coming through the fabric, always keep the string taut as you move between button holes, and pass the string through each button hole between 6-8 times to ensure it stays on this time!"
10,"You have to add an olive, but no slice of lemon. However, drinking one is like having your brain smashed out by a slice of lemon wrapped around a large gold brick.",0,"Zaphod Beeblebrox, an important character in ""The Hitchhiker's Guide to the Galaxy,"" invented a cocktail called the Pan-Galactic Gargle Blaster, decribed as ""the alcoholic equivalent of a mugging-- expensive and bad for the head."""
10,"You have to add an olive, but no slice of lemon. However, drinking one is like having your brain smashed out by a slice of lemon wrapped around a large gold brick.",1,"It includes some wild ingredients, like the tooth of an Algolian Suntiger, three cubes of Arcturan Mega-gin, and strangest of all, you have to add a slice of lemon."
11,"Hares are the critters with the voracious appetites, and are different than rabbits in the series. Hares are loud, comical, obnoxious imperialists. They are often mistaken for rabbits, who rarely appear in the series, and they are very quirky characters. Those that do appear are invariably pacifists. ",0,"Brian Jacques' ""Redwall"" series is known for its anthropomorphic critters, its fantastical adventures, and its feasts."
11,"Hares are the critters with the voracious appetites, and are different than rabbits in the series. Hares are loud, comical, obnoxious imperialists. They are often mistaken for rabbits, who rarely appear in the series, and they are very quirky characters. Those that do appear are invariably pacifists. ",1,"Dishes like Shrewbread Bubbling Bobbs, and Deeper'n'Ever Turnip'n'Tater'n'Beetroot Pie appear in the books, and rabbits are notorious for eating portions well pass what would be expected of them."
12,"The closing shot of the movie shows Harley biting into one of these sandwiches, just not the one she gets in the initial sequence, which is knocked out of her hands by Montoya.",0,"In Cathy Yan's ""Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"" Harley describes the perfect egg sandwich: eggs, bacon, a soft buttered roll, American cheese at least 6 months out of date, and stray Armenian arm hair."
