id,answer,text
0,George_Bernard_Shaw,"This man derided the adoration of Shakespeare as ""bardolatry"" in his preface to Three Plays for Puritans.  Boss Mangan threatens to strip naked because he deems his fellow guests ""morally naked"" in this man's 1919 play Heartbreak House.  A Swiss mercenary who fights for Serbia climbs through Raina Petkoff's window in Arms and the Man, a play by--for 10 points--what author of Man and Superman and Pygmalion [""pig-MALE""-yun]?"
1,Joseph_McCarthy,"This man sent a letter to Robert T. Stevens demanding that a dentist, Irving Peress, be court-martialed after a congressional hearing.  A document that this man created from the so-called ""Lee list"" was investigated by the Tydings Committee.  In his role as chair of the Permanent Subcommittee on Investigations, this man was assisted by Roy Cohn.  For 10 points--name the Wisconsin senator who led the 1950s Red Scare."
2,China,"While surveying this country's deserts in 2011, Google Earth identified mysterious groups of white zagging lines, probably used to coordinate spy satellites.  This country mines potash in the dried lake bed Lop Nur, once a nuclear test site.  Much of its oil reserves are in the isolated Taklamakan Desert, part of its western Xinjiang province.  For 10 points--name the country that shares the Gobi Desert with Mongolia."
3,Multiplicative_inverse,"This function of e is the x-coordinate of the local minimum of f of x equals x to the x.  The curvature of a circle is this function of its radius.  Rotating the right half of this function's graph about the x-axis produces Gabriel's horn, which has finite volume yet infinite surface area.  The natural logarithm is an antiderivative of--for 10 points--what function, equivalent to raising a value to the \N-1 power?"
4,Deer,"Saint Eustace converted to Christianity after he saw one of these animals with a crucifix above its head.  The sika type of these animals wanders freely in a park in Nara, Japan.  In Sarnath, Buddha taught at a ""park"" named for these creatures, whose white-tailed type has a 310-degree field of vision.  The taxonomic genus Cervus contains species of--for 10 points--what antlered ungulates, whose meat is called venison?"
5,The_Tin_Drum,"This man sums up his life by saying that he ""smelled vanilla, coughed in churches, observed ants"" and is ""still afraid of the Black Witch.""  He forms a jazz trio with Scholle and Klepp that performs in the Onion Cellar.  Roswitha and Maria are lovers of this man, whose scream can shatter glass.  He receives a percussion instrument on his third birthday.  For 10 points--name the protagonist of G\""unter Grass's The Tin Drum."
6,Merrick_Garland,"In a 2016 press conference, this man lamented that his eldest daughter was hiking outside of cell phone service range.  Early in his career, he oversaw the Oklahoma City bombing investigation.  One political party cited the ""Biden Rule"" as a reason to not meet with this man, who currently is chief of the District of Columbia Circuit Court.  For 10 points--name the nominee to replace Antonin Scalia on the Supreme Court."
7,Metal,"All elements of this type have a Fermi surface that can be drawn on their reciprocal space diagram.  Variations across these elements are often depicted on ""volcano diagrams.""  Arnold Sommerfeld pioneered modeling these substances as a ""sea"" of free, delocalized electrons moving about a cation lattice.  The majority of elements are--for 10 points--what lustrous, conductive materials that can combine to form alloys?"
8,Edwin_Arlington_Robinson,"This author wrote of a place in which ""winds blow bleak and shrill"" through ""broken walls and gray"" in his poem ""The House on the Hill.""  A man named Eben talks to himself while on a hill above Tilbury Town in this author's poem ""Mr. Flood's Party,"" while another of his poems is about a man who ""missed the mediaeval grace / of iron clothing"" and who ""wept that he was ever born.""  For 10 points--name the author of ""Miniver Cheevy."""
9,Afghanistan,"In this country, suicide bombers assassinated the national leader Ahmed Shah Massoud two days before 9/11.  The city Mazar-i-Sharif in this country was captured by the Northern Alliance one month before U.S. forces overran this country's Tora Bora cave complex to drive out al-Qaeda.  For 10 points--name the country whose government was deposed by NATO and American forces after the September 11 attacks."
10,Tide,"The ""stripping"" caused by this interaction may be converting Messier object 32 into a compact elliptical galaxy.  This interaction induces heating that drives volcanism on Io [""EYE""-oh].  It will destroy an orbiting body that moves inside the Roche limit.  Differences in gravitational attraction between the near and far sides of an orbiting body generate--for 10 points--what interaction that raises and lowers local sea level on Earth?"
11,Umbrella,"In My Neighbor Totoro, repeatedly lifting one of these things makes trees grow.  A 2007 song titled for one of these things notes ""you're part of my entity, here for infinity.""  Ozwell Spencer co-founded a company of this name in the Resident Evil series.  A 2013 Pixar short is named for a blue one of these things that shelters a newly-met couple from the rain.  For 10 points--name the tool that allows Mary Poppins to fly."
12,Battle_of_Stalingrad,"Heavy fighting at this battle took place around the Dzerzhinsky Tractor Factory.  This battle is commemorated by a 280-foot-tall statue of a woman raising a sword above her head, titled The Motherland Calls.  During this battle, Operation Uranus led to the encirclement of the Sixth Army and the surrender of Friedrich Paulus [POW-""loose""].  For 10 points--name this turning point of the Eastern front in World War II."
13,Peroxisome,"In plants, this organelle is the site of the glyoxylate cycle.  In mammals, it contains dehydrogenases and other enzymes of the pentose phosphate shunt, and breaks down D-amino acids.  Plasmalogen synthesis and beta oxidation occur in this organelle, where the enzyme catalase breaks down a certain toxic compound.  For 10 points--name the organelle that contains reactive oxygen species such as its namesake compound, H|2|O|2| [""H two, O two""]."
14,Utah,"One national park in this state is known for having the highest concentration of hoodoos anywhere in the world.  A 1500-foot rock formation called Angels Landing rises above the main canyon in another national park in this state.  Capitol Reef and Canyonlands National Park are both in the southern half of this state, as are Bryce Canyon and Zion Canyon.  For 10 points--name the state whose capital is Salt Lake City."
15,Panama_Canal_Zone,"Woodrow Wilson's Executive Order 1885 entrusted this area's governance to the secretary of war.  France Field and Fort de Lesseps were both in Col\'on [koh-LOHN], a city in this U.S. territory that included a submarine base at Coco Solo--the birthplace of John McCain.  The Torrijos-Carter Treaty arranged for the U.S. to relinquish this territory on December 31, 1999.  For 10 points--name this 10-mile-wide territory in Panama."
16,Jinn,"These beings assist ""He of the Two Horns,"" or Zulqarnayn [ZOOL-""car""-NAYN], in building a wall to keep out Gog and Magog [muh-GAHG].  One class of these beings are made from ""smokeless fire.""  The marid class of them served Iblis [ib-LEES].  The Ifrit are a type of these beings, which were created along with angels and humans according to the Qur'an [kuh-RAHN].  For 10 points--name these beings, one of which Aladdin encountered after rubbing a lamp."
17,Lucia_di_Lammermoor,"In this opera's final scene, a duel is canceled after Raimondo brings news of the title character's death.  In its second act, the question ""what restrains me in such a moment?"" begins a sextet.  Earlier, the title woman hallucinates roses scattered on an altar in ""Il dolce suono"" [eel DOHL-chay SWOH-noh], which she sings while drenched in Arturo Bucklaw's blood.  For 10 points--name the Gaetano Donizetti opera with a ""Mad Scene"" set in Scotland."
18,Frostbite,"The need for amputations as a result of this medical condition has shown to be lessened by the use of tissue plasminogen activators.  In a form of this condition called perniosis or chilblains [""CHILL""-blaynz], tissue is damaged but not destroyed.  ""Deodorant Burn"" is a type of this condition caused by rapidly cooling pressurized gas.  For 10 points--name this kind of localized tissue damage, caused by overexposure to cold temperatures."
