1	1	44	Pascal's_triangle
1	2	132	Arshile_Gorky
1	3	90	Gangnam_Style
1	4	25	Array_data_structure
1	5	82	James_VI_and_I
1	6	94	Square_number
1	7	19	Rum_Rebellion
1	8	77	University_of_Chicago
1	9	72	Mach_number
1	10	123	Sudan
1	11	57	Philadelphia
1	12	125	Creutzfeldt–Jakob_disease
1	13	19	Necrosis
1	14	57	The_Charge_of_the_Light_Brigade_(poem)
1	15	131	Day_of_the_Dead
1	16	104	Samuel_L._Jackson
1	17	32	San_Francisco
1	18	121	John_F._Kennedy
1	19	84	School_prayer
1	20	89	Bicameralism_(psychology)
1	21	19	The_Scarlet_Letter
1	22	103	United_States_presidential_election,_1876
1	23	80	Turkey
1	24	100	Bell
1	25	113	If—
1	26	136	Spain
1	27	26	The_Great_Gatsby
1	28	48	Theodore_Roosevelt
1	29	62	Raman_scattering
1	30	137	Kidney
1	31	34	Oklahoma
1	32	77	Alcohol
1	33	41	Persian_language
1	34	19	The_Death_of_Socrates
1	35	142	George_Washington
1	36	50	Sailing_to_Byzantium
1	37	86	0
1	38	45	Texas
1	39	87	Yukio_Mishima
1	40	109	The_Stranger_(novel)
1	41	80	Joseph_Joffre
1	42	61	Ghosts_(play)
1	43	46	Brigham_Young
1	44	28	Atlanta
1	45	19	United_States_presidential_election,_1968
1	46	83	13_(number)
1	47	43	Photon
1	48	26	Brownian_motion
1	49	38	Thirty-six_Views_of_Mount_Fuji
1	50	42	Emile,_or_On_Education
1	51	37	Oxford
1	52	54	House_of_Medici
1	53	49	ETA_(separatist_group)
1	54	40	The_House_on_Mango_Street
1	55	20	Miranda_v._Arizona
